,Closest_neigh,Index_o_CN
1221,-1.7,1222
1222,-1.7,1221
1223,2.7,1156
1224,3.4,801
1225,3.3,1193
1226,3.4,1215
1227,2.6,1228
1228,0.1,1229
1229,-0.2,1230
1230,-0.2,1229
1231,2.7,1230
1232,3.3,1230
1233,2.9,820
1234,3.3,1227
1235,3.3,1229
1236,3.8,927
1237,4.0,1215
1238,3.0,927
1239,3.2,1278
1240,-0.4,1241
1241,-0.4,1240
1242,2.3,1252
1243,2.6,1262
1244,3.7,1243
1245,2.6,1246
1246,2.6,1245
1247,2.8,1250
1248,3.0,1247
1249,2.5,1250
1250,2.5,1249
1251,2.5,1252
1252,2.3,1242
1253,2.8,1250
1254,3.9,1243
1255,2.2,1206
1256,3.6,1255
1257,2.8,1258
1258,0.3,1259
1259,0.3,1258
1260,3.1,1261
1261,3.1,1260
1262,2.6,1243
1263,2.3,1264
1264,2.3,1263
1265,2.6,1263
1266,3.4,1269
1267,3.8,1266
1268,3.5,1269
1269,1.5,1270
1270,1.5,1269
1271,3.3,1274
1272,3.4,1263
1273,3.9,935
1274,3.3,1271
1275,4.0,1272
1276,3.1,801
1277,-0.7,1278
1278,-0.7,1277
1279,-0.3,1280
1280,-0.3,1279
1281,3.3,927
1282,2.9,1283
1283,2.5,1289
1284,3.3,1279
1285,3.0,1286
1286,3.0,1285
1287,2.4,801
1288,1.5,1305
1289,2.4,1288
1290,2.2,1292
1291,3.6,1292
1292,2.2,1290
1293,3.0,1288
1294,2.9,1295
1295,2.9,1294
1296,2.6,1288
1297,3.5,801
1298,3.2,376
1299,3.4,1300
1300,3.1,1278
1301,2.1,1315
1302,3.3,1292
1303,3.9,1301
1304,3.8,1305
1305,1.5,1288
1306,3.6,1080
1307,3.7,801
1308,2.2,1309
1309,2.2,1308
1310,2.7,1311
1311,2.2,1312
1312,2.2,1311
1313,3.4,1290
1314,3.6,1313
1315,2.1,1301
1316,2.8,1317
1317,2.8,1316
1318,3.1,927
1319,3.5,1320
1320,3.5,1319
1321,3.4,1322
1322,3.4,1321
